path,blur,under,over,night,dist_type,dist_level,ref
ExDark\Bicycle\2015_00130.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00130.jpg
ExDark\Bicycle\2015_00131.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00131.jpg
ExDark\Bicycle\2015_00132.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00132.jpg
ExDark\Bicycle\2015_00133.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00133.jpg
ExDark\Bicycle\2015_00134.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00134.jpg
ExDark\Bicycle\2015_00135.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00135.jpg
ExDark\Bicycle\2015_00136.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00136.jpg
ExDark\Bicycle\2015_00137.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00137.jpg
ExDark\Bicycle\2015_00138.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00138.jpg
ExDark\Bicycle\2015_00139.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00139.jpg
ExDark\Bicycle\2015_00140.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00140.jpg
ExDark\Bicycle\2015_00141.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00141.jpg
ExDark\Bicycle\2015_00142.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00142.jpg
ExDark\Bicycle\2015_00143.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00143.jpg
ExDark\Bicycle\2015_00144.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00144.jpg
ExDark\Bicycle\2015_00145.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00145.jpg
ExDark\Bicycle\2015_00146.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00146.jpg
ExDark\Bicycle\2015_00147.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00147.jpg
ExDark\Bicycle\2015_00148.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00148.jpg
ExDark\Bicycle\2015_00149.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00149.jpg
ExDark\Bicycle\2015_00150.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00150.jpg
ExDark\Bicycle\2015_00151.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00151.jpg
ExDark\Bicycle\2015_00152.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00152.jpg
ExDark\Bicycle\2015_00153.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00153.jpg
ExDark\Bicycle\2015_00154.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00154.jpg
ExDark\Bicycle\2015_00155.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00155.jpg
ExDark\Bicycle\2015_00156.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00156.jpg
ExDark\Bicycle\2015_00157.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00157.jpg
ExDark\Bicycle\2015_00158.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00158.jpg
ExDark\Bicycle\2015_00159.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00159.jpg
ExDark\Bicycle\2015_00160.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00160.jpg
ExDark\Bicycle\2015_00161.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00161.jpg
ExDark\Bicycle\2015_00162.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00162.jpg
ExDark\Bicycle\2015_00163.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00163.jpg
ExDark\Bicycle\2015_00164.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00164.jpg
ExDark\Bicycle\2015_00165.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00165.jpg
ExDark\Bicycle\2015_00166.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00166.jpg
ExDark\Bicycle\2015_00167.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00167.jpg
ExDark\Bicycle\2015_00168.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00168.jpg
ExDark\Bicycle\2015_00169.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00169.jpg
ExDark\Bicycle\2015_00170.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00170.jpg
ExDark\Bicycle\2015_00171.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00171.jpg
ExDark\Bicycle\2015_00172.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00172.jpg
ExDark\Bicycle\2015_00173.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00173.jpg
ExDark\Bicycle\2015_00174.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00174.jpg
ExDark\Bicycle\2015_00175.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00175.jpg
ExDark\Bicycle\2015_00176.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00176.jpg
ExDark\Bicycle\2015_00177.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00177.jpg
ExDark\Bicycle\2015_00178.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00178.jpg
ExDark\Bicycle\2015_00179.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00179.jpg
ExDark\Bicycle\2015_00180.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00180.jpg
ExDark\Bicycle\2015_00181.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00181.jpg
ExDark\Bicycle\2015_00182.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00182.jpg
ExDark\Bicycle\2015_00183.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00183.jpg
ExDark\Bicycle\2015_00184.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00184.jpg
ExDark\Bicycle\2015_00185.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00185.jpg
ExDark\Bicycle\2015_00186.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00186.jpg
ExDark\Bicycle\2015_00187.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00187.jpg
ExDark\Bicycle\2015_00188.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00188.jpg
ExDark\Bicycle\2015_00189.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00189.jpg
ExDark\Bicycle\2015_00190.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00190.jpg
ExDark\Bicycle\2015_00191.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00191.jpg
ExDark\Bicycle\2015_00192.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00192.jpg
ExDark\Bicycle\2015_00193.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00193.jpg
ExDark\Bicycle\2015_00194.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00194.jpg
ExDark\Bicycle\2015_00195.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00195.jpg
ExDark\Bicycle\2015_00196.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00196.jpg
ExDark\Bicycle\2015_00197.png,0,0,0,1,0,0,ExDark\Bicycle\2015_00197.png
ExDark\Bicycle\2015_00198.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00198.jpg
ExDark\Bicycle\2015_00199.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00199.jpg
ExDark\Bicycle\2015_00200.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00200.jpg
ExDark\Bicycle\2015_00201.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00201.jpg
ExDark\Bicycle\2015_00202.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00202.jpg
ExDark\Bicycle\2015_00203.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00203.jpg
ExDark\Bicycle\2015_00204.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00204.jpg
ExDark\Bicycle\2015_00205.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00205.jpg
ExDark\Bicycle\2015_00206.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00206.jpg
ExDark\Bicycle\2015_00207.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00207.jpg
ExDark\Bicycle\2015_00208.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00208.jpg
ExDark\Bicycle\2015_00209.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00209.jpg
ExDark\Bicycle\2015_00210.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00210.jpg
ExDark\Bicycle\2015_00211.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00211.jpg
ExDark\Bicycle\2015_00212.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00212.jpg
ExDark\Bicycle\2015_00213.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00213.jpg
ExDark\Bicycle\2015_00214.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00214.jpg
ExDark\Bicycle\2015_00215.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00215.jpg
ExDark\Bicycle\2015_00216.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00216.jpg
ExDark\Bicycle\2015_00217.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00217.jpg
ExDark\Bicycle\2015_00218.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00218.jpg
ExDark\Bicycle\2015_00219.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00219.jpg
ExDark\Bicycle\2015_00220.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00220.jpg
ExDark\Bicycle\2015_00221.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00221.jpg
ExDark\Bicycle\2015_00222.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00222.jpg
ExDark\Bicycle\2015_00223.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00223.jpg
ExDark\Bicycle\2015_00224.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00224.jpg
ExDark\Bicycle\2015_00225.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00225.jpg
ExDark\Bicycle\2015_00226.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00226.jpg
ExDark\Bicycle\2015_00227.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00227.jpg
ExDark\Bicycle\2015_00228.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00228.jpg
ExDark\Bicycle\2015_00229.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00229.jpg
ExDark\Bicycle\2015_00230.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00230.jpg
ExDark\Bicycle\2015_00231.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00231.jpg
ExDark\Bicycle\2015_00232.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00232.jpg
ExDark\Bicycle\2015_00233.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00233.jpg
ExDark\Bicycle\2015_00234.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00234.jpg
ExDark\Bicycle\2015_00235.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00235.jpg
ExDark\Bicycle\2015_00236.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00236.jpg
ExDark\Bicycle\2015_00237.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00237.jpg
ExDark\Bicycle\2015_00238.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00238.jpg
ExDark\Bicycle\2015_00239.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00239.jpg
ExDark\Bicycle\2015_00240.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00240.jpg
ExDark\Bicycle\2015_00241.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00241.jpg
ExDark\Bicycle\2015_00242.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00242.jpg
ExDark\Bicycle\2015_00243.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00243.jpg
ExDark\Bicycle\2015_00244.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00244.jpg
ExDark\Bicycle\2015_00245.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00245.jpg
ExDark\Bicycle\2015_00246.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00246.jpg
ExDark\Bicycle\2015_00247.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00247.jpg
ExDark\Bicycle\2015_00248.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00248.jpg
ExDark\Bicycle\2015_00249.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00249.jpg
ExDark\Bicycle\2015_00250.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00250.jpg
ExDark\Bicycle\2015_00251.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00251.jpg
ExDark\Bicycle\2015_00252.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00252.jpg
ExDark\Bicycle\2015_00253.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00253.jpg
ExDark\Bicycle\2015_00254.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00254.jpg
ExDark\Bicycle\2015_00255.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00255.jpg
ExDark\Bicycle\2015_00256.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00256.jpg
ExDark\Bicycle\2015_00257.jpg,0,1,0,1,0,0,ExDark\Bicycle\2015_00257.jpg
ExDark\Bicycle\2015_00258.jpg,0,0,0,1,0,0,ExDark\Bicycle\2015_00258.jpg
